date,Fe_x,Fe_y,Fe_z,N1_x,N1_y,N1_z,N2_x,N2_y,N2_z,N3_x,N3_y,N3_z,N4_x,N4_y,N4_z,O1_x,O1_y,O1_z,O2_x,O2_y,O2_z,O3_x,O3_y,O3_z,O4_x,O4_y,O4_z
2024-01-01 0:00,0,0,0,-0.425382469,-1.916356491,-1.13445503,-2.019994591,0.544155452,-0.699790164,2.000287353,-0.662793523,-0.682208487,0.404767973,1.838404559,-1.284865993,-1.110025888,3.678652987,2.532914913,1.194380443,-0.777075404,2.514024975,0.281133878,1.498360957,1.215880766,-0.594900119,-1.396385064,1.171971492
2024-01-01 0:00,0,0,0,-0.425451593,-1.917385167,-1.140503404,-2.031327954,0.53662941,-0.693837732,2.006711027,-0.664815962,-0.675950941,0.408985038,1.836891739,-1.290541111,-1.113421058,3.684284889,2.525106033,1.195609494,-0.786653802,2.514653849,0.274601978,1.496236433,1.195724606,-0.609130685,-1.388800917,1.14762883
2024-01-01 0:00,0,0,0,-0.425429798,-1.918769441,-1.14629955,-2.040653425,0.52865358,-0.688721312,2.011295718,-0.664173418,-0.669928671,0.413790134,1.836032875,-1.295167654,-1.116428088,3.688305342,2.516876095,1.19712989,-0.794247695,2.516732013,0.267769653,1.49408736,1.175834233,-0.623447895,-1.380685254,1.124463908
2024-01-01 0:00,0,0,0,-0.425461849,-1.920533431,-1.15188449,-2.048033075,0.520598612,-0.68423885,2.013925722,-0.66088939,-0.66350399,0.41903123,1.835793609,-1.298847666,-1.118832666,3.690910123,2.508619036,1.198594196,-0.800234826,2.519939438,0.26100378,1.491467775,1.157323992,-0.638032946,-1.372058429,1.103711758
2024-01-01 0:00,0,0,0,-0.425673066,-1.9227564,-1.157628089,-2.05347556,0.512822571,-0.680246944,2.014745161,-0.655120738,-0.656849118,0.424598073,1.836384525,-1.301947962,-1.120446437,3.692481973,2.500575556,1.199705406,-0.8050994,2.523722172,0.254551687,1.488496538,1.140994976,-0.652921092,-1.363089452,1.085757163
2024-01-01 0:00,0,0,0,-0.42615287,-1.92526249,-1.16347441,-2.056895835,0.505721458,-0.676407933,2.013709698,-0.647036656,-0.649782681,0.430388632,1.837717603,-1.304443454,-1.121172607,3.693369273,2.493047719,1.200185959,-0.809501666,2.527547622,0.24846754,1.484892812,1.127239088,-0.668038083,-1.353687343,1.070850995
2024-01-01 0:00,0,0,0,-0.426786947,-1.927695548,-1.169027143,-2.057778522,0.499633168,-0.672112608,2.010559399,-0.636834712,-0.641734116,0.436416048,1.839469319,-1.305953429,-1.120900601,3.693848915,2.486339961,1.199963952,-0.814052956,2.531053719,0.242750699,1.479700272,1.116077684,-0.68292014,-1.343461343,1.059005458
2024-01-01 0:00,0,0,0,-0.427580211,-1.929840427,-1.174250692,-2.055924047,0.494874379,-0.66714332,2.005294477,-0.624750162,-0.63264613,0.442562908,1.841566085,-1.30646941,-1.119773685,3.694395667,2.480668572,1.199151137,-0.819086355,2.534130623,0.237379688,1.473055053,1.107655524,-0.697512883,-1.332406826,1.050189024
2024-01-01 0:00,0,0,0,-0.428536294,-1.931526636,-1.179119292,-2.051339463,0.491705019,-0.66138989,1.998039291,-0.611220582,-0.622465837,0.448716178,1.843861962,-1.305997162,-1.118034488,3.695460858,2.476170516,1.198101037,-0.824722822,2.53692038,0.232322672,1.465044126,1.101980067,-0.711797508,-1.32059411,1.044255237
2024-01-01 0:00,0,0,0,-0.429634577,-1.93259522,-1.183597008,-2.044089726,0.490271892,-0.654834688,1.98896008,-0.596729436,-0.611141706,0.454754492,1.846190654,-1.304533632,-1.115992621,3.697470468,2.472903085,1.197305102,-0.830895863,2.53970607,0.227533388,1.455831751,1.098952999,-0.725785981,-1.308124725,1.040906104
2024-01-01 0:00,0,0,0,-0.430833287,-1.93291202,-1.187637732,-2.034298446,0.490578145,-0.647549586,1.978264105,-0.581777461,-0.598649666,0.46054708,1.848364893,-1.302073059,-1.113987507,3.700721495,2.470817802,1.197262154,-0.837428636,2.54280501,0.222945705,1.445673108,1.098335991,-0.739551806,-1.29514572,1.039654459
2024-01-01 0:00,0,0,0,-0.432070992,-1.932374459,-1.19118858,-2.022144363,0.492487644,-0.63967019,1.966204465,-0.566855341,-0.585030739,0.465954736,1.850186125,-1.298608999,-1.112348843,3.705263903,2.469742106,1.198392274,-0.844077618,2.546517567,0.21846892,1.434936995,1.099701545,-0.75326667,-1.281842452,1.039791082
2024-01-01 0:00,0,0,0,-0.433273655,-1.930918818,-1.194191917,-2.007846597,0.495754709,-0.631328378,1.953091627,-0.552415329,-0.570450365,0.470845515,1.851455917,-1.294136708,-1.111367973,3.710818579,2.469391564,1.200986274,-0.850558083,2.551099021,0.213991493,1.424128591,1.102390276,-0.767223413,-1.268416929,1.040433516
2024-01-01 0:00,0,0,0,-0.434362964,-1.928517896,-1.196583671,-1.991656322,0.500067782,-0.622576356,1.939273879,-0.538839734,-0.555238405,0.475108306,1.851986385,-1.28864771,-1.111279833,3.716845495,2.46943089,1.205223424,-0.856553356,2.556774139,0.209396332,1.413829436,1.105548882,-0.781789339,-1.255011022,1.040768803
2024-01-01 0:00,0,0,0,-0.435259752,-1.925176443,-1.198304174,-1.973869264,0.505110803,-0.613336152,1.925142993,-0.526427774,-0.539937623,0.478676551,1.851627332,-1.282132851,-1.112220425,3.722716046,2.469566157,1.211192401,-0.861744045,2.563729379,0.204634292,1.404558154,1.108336267,-0.797217119,-1.241636263,1.040414871
2024-01-01 0:00,0,0,0,-0.435882291,-1.920942631,-1.199305964,-1.954858709,0.510612371,-0.603392492,1.911095011,-0.515388863,-0.525265715,0.481516275,1.850264893,-1.274590775,-1.114176181,3.727907352,2.469636672,1.218904528,-0.86586874,2.57207865,0.199729624,1.396553025,1.110318829,-0.813454295,-1.228232145,1.039642932
2024-01-01 0:00,0,0,0,-0.436201947,-1.915878885,-1.199566667,-1.935099442,0.516325139,-0.592490434,1.897398309,-0.505676615,-0.512065811,0.48362577,1.847702549,-1.266111322,-1.117000734,3.732141348,2.469659386,1.228250832,-0.868798896,2.581841616,0.194837029,1.389728187,1.111759644,-0.83018869,-1.214678754,1.039145258
