date,Fe-O163_dist,Fe-O164_dist,Fe-O165_dist,Fe-O166_dist,Fe-O167_dist,Fe-O168_dist,Fe-O169_dist,Fe-O170_dist,Fe-O171_dist,Fe-O172_dist,Fe-O173_dist,Fe-O174_dist,Fe-O175_dist,Fe-O176_dist,Fe-O177_dist,Fe-O178_dist,Fe-O179_dist,Fe-O180_dist,Fe-O181_dist,Fe-O182_dist,Fe-O183_dist,Fe-O184_dist,Fe-O185_dist,Fe-O186_dist,Fe-O187_dist,Fe-O188_dist,Fe-O189_dist,Fe-O190_dist,Fe-O191_dist,Fe-O192_dist,Fe-O193_dist,Fe-O194_dist
2024-01-01 00:04:30,8.899254555658384,7.918402553899822,6.649945200599382,7.269732213232817,8.208262393713092,6.36225006340248,7.451388398904685,4.689715926330551,4.950600793240752,6.114198497282542,6.439798205848621,6.590339901412747,5.267043655491651,4.173354009012753,8.160563094780441,9.845000128405914,9.613392554807383,13.21124176551318,10.38423887659065,9.907439075917075,9.305194441373194,14.178701645411165,8.253401024294085,7.859390342071673,12.444127206307,9.465859022410644,9.132523482339456,13.170587905785062,7.914630179246185,11.74742699362398,1.8949427091190785,1.9974494787608457
2024-01-01 00:04:31,8.902051330551817,7.920331795172166,6.6403989273210255,7.26716798538604,8.215522914283358,6.363963137395528,7.450224211871678,4.693986425535901,4.94724092885407,6.12608032117335,6.440961049769022,6.585383407299535,5.265688760110913,4.175571973778977,8.151133104080404,9.846569573609097,9.621361935627773,13.211776547432764,10.380293481232028,9.916530320507078,9.301253845895818,14.174886669476953,8.252703023138238,7.859873901923885,12.443241294068295,9.460286837241744,9.129244850543428,13.166439499506668,7.9091900331665235,11.742493337176777,1.884124899238144,1.9959500700768007
2024-01-01 00:04:32,8.9045773073431,7.92326824488749,6.630903363245298,7.264662168847024,8.223544204368023,6.365379446940282,7.449155736094193,4.696799974310073,4.94515776055399,6.137082183147897,6.4425611999678045,6.581408888979408,5.264056224686761,4.178463545604602,8.14192515670273,9.847362569594612,9.629454253751836,13.211860343652448,10.376110073531189,9.926011899963449,9.297715690186513,14.171634226981968,8.251786871170637,7.86043340999784,12.44273582885064,9.455271255359255,9.126830393778748,13.161972478930664,7.904634252930489,11.737564317615956,1.873645802202708,1.995578878720001
2024-01-01 00:04:33,8.906650770614672,7.927178450126386,6.621449407906856,7.262373334119871,8.232400590937107,6.36629442489969,7.448186145616372,4.698607421476382,4.944288045791812,6.146827552414952,6.44456614390912,6.5784867956685344,5.261888551878233,4.181960068713418,8.132887884790422,9.847405209243249,9.63768226934262,13.211403802872615,10.371625354075343,9.935842401740562,9.294530678418198,14.1689326475574,8.250598118755741,7.8613455976441315,12.442488316666957,9.450913641372743,9.12524357210345,13.157160025097175,7.900820736875733,11.732621836794149,1.8637439019554165,1.9964016130228357
2024-01-01 00:04:34,8.90816350237811,7.931809199249778,6.612035722138587,7.26042572298449,8.242068489106293,6.36657309758872,7.447320575785062,4.700015654902304,4.944458020193487,6.155114851016268,6.446840535949947,6.576549953969575,5.2590348413794255,4.185966325884668,8.123990000646005,9.84693338650976,9.646025417566785,13.210419051393096,10.366914106120507,9.945920761414571,9.291654895971243,14.166698391804248,8.249143490408322,7.862823002983466,12.44231235343572,9.44725051411056,9.124385200922664,13.15213506744442,7.89753755757042,11.727643230576328,1.8546624655053183,1.9983945160951413
2024-01-01 00:04:35,8.909077678013174,7.936772110413762,6.6026874796036985,7.258884038454741,8.25242506449284,6.366164832112554,7.446566442644292,4.701730596527173,4.945402911874738,6.1619055422426445,6.449174261611679,6.575424131765703,5.255466966806597,4.190368120292127,8.115225792777297,9.846328209831556,9.654433248793469,13.209028453509818,10.362166329137445,9.956080216524844,9.289055237212215,14.164798505834652,8.247481757141742,7.864969976758823,12.441963455711075,9.44425099608598,9.124124848809531,13.147103277314082,7.894563669940799,11.722613585665744,1.8466385832858088,2.001429960100752
2024-01-01 00:04:36,8.909420246994394,7.941660447768934,6.593460648321581,7.257746321816946,8.263249876138419,6.36511776782088,7.445930203297212,4.704497377207534,4.946781575990784,6.167313924695297,6.451321800325693,6.574856100071785,5.251269982493945,4.195044811527605,8.106608112968143,9.846010984388052,9.662830915364667,13.20744483315215,10.35763392052218,9.96608482183906,9.286713016419444,14.163071325479,8.245702774705073,7.867761316923742,12.441156961716416,9.441819355119758,9.12432741121519,13.142242680376944,7.891709944376192,11.717543363958637,1.839896075897809,2.005234999503757
2024-01-01 00:04:37,8.909278626441104,7.946152409535128,6.584436988090965,7.2569610409015715,8.27423155311919,6.3635893335645575,7.445414919628335,4.708997613311913,4.948194746516332,6.171609042679284,6.4530445379069885,6.574543325729453,5.2466328156269775,4.1998858197825015,8.098160774986466,9.84634795329194,9.671129187906809,13.205929199936229,10.353575977562532,9.97564018847369,9.284625239116927,14.16135440100433,8.243904286938236,7.87105461941362,12.439620661474947,9.43980962713474,9.124869716860584,13.137648661759185,7.888841433662493,11.712486946458366,1.8346325703054296,2.0093377226365687
2024-01-01 00:04:38,8.908794202143934,7.950060692073066,6.575710268183617,7.256450422525908,8.28499968606264,6.361842794460562,7.44501533836774,4.715683440698889,4.949210194493254,6.175217589810886,6.454142720185904,6.574153826202484,5.241819326158439,4.204805093687345,8.089904389031298,9.847587279337974,9.679234360171362,13.204729631323753,10.350209419788948,9.984424917978068,9.2827985925491,14.159495884620384,8.242178368384856,7.874627467926365,12.437160076289604,9.43804156932084,9.125634096502344,13.133318308983768,7.885876830248669,11.70753264511659,1.8309892887159505,2.013035541747142
2024-01-01 00:04:39,8.908133723858183,7.953306363134479,6.567254296098569,7.256059782436604,8.295081978691975,6.3601528351569145,7.444620270953314,4.724519158556839,4.949451183859296,6.178726593289599,6.454551005570497,6.573340740402236,5.23707952976255,4.209761444593879,8.081868594007862,9.849775756849407,9.686992654392045,13.203969673800136,10.347598121908216,9.99207589139168,9.281147597507204,14.157281607432726,8.240535613012664,7.878126471954877,12.433654458512349,9.436266027715318,9.12643521459289,13.129059256390764,7.882776364219484,11.702685015808276,1.8289672753718744,2.015398271535493
