date,Fe-O163_dist,Fe-O164_dist,Fe-O165_dist,Fe-O166_dist,Fe-O167_dist,Fe-O168_dist,Fe-O169_dist,Fe-O170_dist,Fe-O171_dist,Fe-O172_dist,Fe-O173_dist,Fe-O174_dist,Fe-O175_dist,Fe-O176_dist,Fe-O177_dist,Fe-O178_dist,Fe-O179_dist,Fe-O180_dist,Fe-O181_dist,Fe-O182_dist,Fe-O183_dist,Fe-O184_dist,Fe-O185_dist,Fe-O186_dist,Fe-O187_dist,Fe-O188_dist,Fe-O189_dist,Fe-O190_dist,Fe-O191_dist,Fe-O192_dist,Fe-O193_dist,Fe-O194_dist,Fe-N94_dist,Fe-N95_dist,Fe-N96_dist,Fe-N97_dist,cn_fe_n,fe_n_mean,fe_n_min,fe_n_std,cn_fe_o,fe_o_mean,fe_o_min,fe_o_std,shell1_count,shell2_count,shell3_count,shell1_mean,shell1_min,shell1_std,fe_out_of_plane
2024-01-01 0:00,9.11688899,6.816144317,7.393072699,7.294738292,7.762308162,6.721123377,6.691450767,4.576372802,5.003712472,2.893911243,5.886176435,6.442921378,5.617367074,5.277160651,8.252869769,10.13055158,9.317958634,13.03035247,10.32585189,9.626894556,9.814683171,13.8111491,8.34115019,7.001791086,12.12021583,9.539284958,8.594305116,14.31043192,7.778244404,12.00866255,2.029893665,1.992477408,2.255658883,2.168697149,2.188196062,2.270682357,0,2.220808613,2.168697149,0.043246719,2,7.985003655,1.992477408,3.056316281,3,0,1,2.305427439,1.992477408,0.416401157,0.748246526
2024-01-01 0:00,9.120946214,6.813938332,7.393238828,7.290476869,7.757037244,6.720887523,6.695594751,4.58297939,5.014931842,2.889478869,5.883775659,6.442008297,5.618934168,5.277580237,8.256753173,10.12985453,9.314005995,13.02896599,10.32592777,9.626141099,9.814939752,13.81149869,8.338590558,6.999904639,12.11929379,9.539778334,8.599243275,14.30583145,7.776075951,12.00739586,2.013852527,1.979177414,2.257274913,2.175153602,2.192323463,2.272099447,0,2.224212856,2.175153602,0.041261268,2,7.984032469,1.979177414,3.057398154,3,0,1,2.294169603,1.979177414,0.421185178,0.722350275
2024-01-01 0:00,9.124953678,6.811542196,7.393357331,7.286707099,7.751296277,6.721412159,6.699636314,4.589373129,5.026060632,2.886920453,5.881041696,6.440128664,5.620597204,5.27777124,8.261849967,10.12926233,9.310249494,13.02738655,10.32634232,9.625944279,9.814997373,13.81150235,8.336626887,6.997634478,12.11898784,9.540498339,8.604135793,14.30125859,7.773814968,12.00701761,1.99755867,1.965101424,2.259150341,2.182369221,2.197066637,2.273440366,0,2.228006641,2.182369221,0.038968613,2,7.983155229,1.965101424,3.058546317,3,0,1,2.283193516,1.965101424,0.427105006,0.700479278
2024-01-01 0:00,9.128946675,6.809024471,7.393488489,7.283803746,7.745706545,6.722619664,6.703620946,4.595015212,5.036933877,2.886208598,5.878284495,6.437338804,5.622532357,5.277743985,8.268002285,10.12886452,9.306386573,13.02586754,10.32705972,9.625946972,9.814927023,13.81132934,8.335234691,6.995022047,12.11944996,9.541495165,8.608896427,14.2968027,7.771629536,12.00762621,1.98132266,1.949962214,2.26135697,2.190157683,2.202654427,2.274970268,0,2.232284837,2.190157683,0.036468799,2,7.98240917,1.949962214,3.059798973,3,0,1,2.272497824,1.949962214,0.434147867,0.683072319
2024-01-01 0:00,9.132930096,6.806503415,7.393692831,7.282019846,7.740761379,6.724376881,6.70760577,4.599414473,5.047388131,2.887223193,5.875803937,6.433876611,5.624881501,5.27752397,8.274920165,10.12870513,9.302219996,13.02462453,10.32802928,9.625729506,9.814811347,13.8111673,8.334373563,6.992163745,12.12076617,9.542787859,8.613474707,14.29257332,7.769699013,12.00911741,1.965436413,1.933942316,2.264014964,2.19815615,2.208839912,2.276860566,0,2.236967898,2.19815615,0.033987145,2,7.981829494,1.933942316,3.061155192,3,0,1,2.262200641,1.933942316,0.442144669,0.669662318
2024-01-01 0:00,9.136859088,6.804123453,7.394028173,7.28144297,7.736785203,6.726541881,6.711645363,4.602206344,5.057300838,2.889759921,5.873838023,6.430079808,5.627750367,5.277123815,8.282202406,10.12875097,9.297688849,13.02378094,10.3291861,9.624893836,9.814727554,13.81120049,8.333999014,6.989191128,12.12295983,9.544366481,8.617836074,14.28869019,7.76816791,12.01123534,1.949996885,1.917632545,2.267236349,2.205944147,2.214916063,2.2791334,0,2.24180749,2.205944147,0.031816578,2,7.981437243,1.917632545,3.062586878,3,0,1,2.252463117,1.917632545,0.450830548,0.65927333
2024-01-01 0:00,9.140656122,6.802001045,7.394617432,7.282040136,7.734001208,6.72902771,6.715863633,4.603240388,5.066573727,2.893404612,5.872457357,6.426313289,5.631200656,5.276515674,8.289402113,10.12890502,9.292858539,13.02337379,10.33049739,9.623243767,9.814806996,13.81164944,8.334080936,6.986298758,12.12603311,9.546210702,8.62198224,14.28530349,7.767089897,12.01370086,1.934912671,1.901804435,2.271150138,2.212617269,2.219409625,2.281871245,0,2.246262069,2.212617269,0.030579633,2,7.981252098,1.901804435,3.064075857,3,0,1,2.243373906,1.901804435,0.459839811,0.650672588
2024-01-01 0:00,9.144421366,6.800315923,7.395492438,7.283762402,7.732467077,6.731638604,6.720423065,4.602681093,5.075423242,2.897911213,5.871792776,6.423067952,5.63523638,5.275899967,8.295955404,10.12920995,9.287905545,13.02350721,10.33206326,9.620928148,9.815220149,13.81279068,8.334549718,6.983735993,12.12995117,9.548354055,8.626063859,14.2825163,7.766601039,12.01629946,1.920047856,1.886636724,2.275229513,2.217674019,2.221540281,2.284665893,0,2.249777426,2.217674019,0.030384943,2,7.981339688,1.886636724,3.065628924,3,0,1,2.234865264,1.886636724,0.469042659,0.642904627
2024-01-01 0:00,9.148157708,6.799178165,7.396736477,7.286420009,7.73211236,6.734321236,6.725456029,4.600844872,5.084040028,2.902946537,5.871751356,6.420648036,5.639841497,5.275369746,8.301463665,10.12961338,9.283050046,13.02413671,10.33397976,9.618350292,9.81610028,13.81482454,8.335373459,6.981732329,12.13463667,9.550805287,8.630186925,14.28041477,7.766692487,12.0188068,1.905780134,1.872914845,2.279540376,2.221181036,2.221015341,2.287516253,0,2.252313251,2.221015341,0.03134223,2,7.981771451,1.872914845,3.067180831,3,0,1,2.227213838,1.872914845,0.478003515,0.63557854
2024-01-01 0:00,9.151864893,6.798520641,7.398245865,7.289689619,7.732562275,6.736905446,6.730975491,4.598119339,5.092604101,2.908032274,5.872119479,6.419231104,5.644777343,5.275036517,8.305585912,10.13002,9.278350992,13.02510262,10.3362383,9.615853231,9.817451434,13.8177631,8.336339015,6.980300054,12.13979262,9.553412254,8.634370473,14.27884936,7.767207683,12.02095419,1.89269333,1.860964112,2.28435823,2.223169982,2.218069433,2.290777192,0,2.254093709,2.218069433,0.033599273,2,7.982497908,1.860964112,3.068650988,3,0,1,2.220563239,1.860964112,0.48628657,0.628731782
