Step,cn_fe_n,fe_n_mean,fe_n_min,fe_n_std,cn_fe_o,fe_o_mean,fe_o_min,fe_o_std,shell1_count,shell2_count,shell3_count,shell1_mean,shell1_min,shell1_std,fe_out_of_plane
21,0,2.2208086125903996,2.1686971486393993,0.043246719104221044,2,7.985003654816544,1.9924774083759638,3.0563162809326636,3,0,1,2.305427438866088,1.9924774083759638,0.4164011569030697,0.7482465260470372
22,0,2.2242128562625325,2.175153602234708,0.041261268051711535,2,7.984032469188796,1.9791774144955459,3.057398153804374,3,0,1,2.2941696032804715,1.9791774144955459,0.4211851784827777,0.7223502750804811
23,0,2.2280066410946597,2.182369220777955,0.038968613497376785,2,7.983155229113492,1.965101424415384,3.0585463167239366,3,0,1,2.283193515711862,1.965101424415384,0.4271050059015343,0.700479277943042
24,0,2.232284836808485,2.1901576827257667,0.036468798996954634,2,7.982409170349388,1.9499622135213472,3.0597989730858486,3,0,1,2.2724978239009217,1.9499622135213472,0.43414786671240135,0.6830723194197097
25,0,2.2369678982285337,2.1981561501442872,0.03398714499868929,2,7.9818294936804355,1.9339423156149325,3.0611551920702254,3,0,1,2.262200640825102,1.9339423156149325,0.44214466935523156,0.6696623180563108
26,0,2.2418074896182705,2.2059441465269267,0.0318165782974005,2,7.9814372434312,1.9176325449173581,3.062586877907981,3,0,1,2.2524631170532685,1.9176325449173581,0.4508305483742841,0.6592733298063549
27,0,2.2462620693420963,2.2126172688215533,0.030579632632125864,2,7.981252098262417,1.9018044352932477,3.064075857234677,3,0,1,2.2433739058303943,1.9018044352932477,0.4598398109168656,0.6506725884651103
28,0,2.2497774264513217,2.2176740185082187,0.030384942903357654,2,7.981339688404002,1.8866367236737813,3.065628924132366,3,0,1,2.2348652644569684,1.8866367236737813,0.46904265880233,0.6429046268564407
29,0,2.2523132513148343,2.2210153408198003,0.03134223031494927,2,7.98177145133389,1.8729148449176916,3.0671808307192325,3,0,1,2.2272138384742584,1.8729148449176916,0.47800351546732756,0.6355785400920697
30,0,2.254093709112948,2.2180694325933157,0.0335992729083252,2,7.9824979083856284,1.8609641117647222,3.068650988384459,3,0,1,2.220563238675098,1.8609641117647222,0.48628656965832584,0.6287317818973235
31,0,2.25501712501584,2.212668233816712,0.03715458619263328,2,7.983521875409014,1.8508014902839782,3.070039803600332,3,0,1,2.2147822327789104,1.8508014902839782,0.4937044134991814,0.622144553621587
