Step,Fe-N94_dist,Fe-N95_dist,Fe-N96_dist,Fe-N97_dist
168,2.268116160673758,1.992304397787727,2.0652240757899922,2.0584356555177203
169,2.272631853418392,1.9922689971711218,2.0597152743466927,2.044479484144336
170,2.2761250373260435,1.9931514155003165,2.0544882545638994,2.031110683488838
171,2.2784418037985863,1.9949565139256784,2.0496211142538683,2.0184286013144632
172,2.279541364709998,1.9975600829420364,2.045237115416862,2.0062701582698095
173,2.279320500066271,2.0008977905728647,2.041445517817204,1.9946504414074013
174,2.2777155965612463,2.0048847547319357,2.0383617902118214,1.9835652184275823
175,2.274699552033943,2.0094188117009333,2.036031875747421,1.972997158239829
176,2.2702887390519284,2.014376292104494,2.03441528321577,1.9629429899256696
177,2.264531863006368,2.0196302381849303,2.033417579052036,1.9534190407378371
178,2.2574988842454085,2.025047966561089,2.0328865779869454,1.9444577723192003
179,2.249352577105291,2.030473190603718,2.0326659070297786,1.9361729121006397
180,2.240306748002629,2.035744020706739,2.0325994393877203,1.9287362544598894
181,2.23061791420209,2.040703559959405,2.0325433330620433,1.922365474928388
182,2.2204666704442233,2.0452300574002806,2.0323696518609764,1.9172620580632287
183,2.2101602230517456,2.049229518273703,2.0319865548938942,1.913601326423619
184,2.200012977945652,2.0526432049806065,2.03134344179841,1.9115423878839137
185,2.1903318123810553,2.055446424524041,2.03042632013558,1.9112178387779137
186,2.181400051139392,2.0576328091240748,2.0292599205967132,1.912714861899069
187,2.1734703922443757,2.059227526520226,2.0279213541670367,1.9160746685214816
188,2.1667599538909603,2.0602782840473446,2.0265354911986346,1.9213031838720267
189,2.161429005663675,2.060838291346613,2.025313008602032,1.9283526496399637
190,2.157601454301332,2.0609753554640564,2.0245265034742683,1.9371486634930755
191,2.155339284936812,2.0607290665571294,2.024541012392588,1.9475846829449457
192,2.1545611053620206,2.0599679753883713,2.0255743459110405,1.959587459489659
193,2.1552504887443,2.058668114134678,2.0279780608033446,1.9730248520346403
194,2.157351142734197,2.0567972343597205,2.0319212800952604,1.9877455704201645
195,2.160768821540021,2.0543274954731445,2.0373096233157924,2.00357557650431
196,2.1653793385010753,2.0512417356386705,2.043814283225705,2.0203275009054673
197,2.1710296396238102,2.047537472229825,2.0509869377697103,2.0378063754917908
198,2.1775432582538925,2.0432393493956047,2.058375622044558,2.055813573343481
199,2.1847296402976215,2.038420326685006,2.0655932217785153,2.074155629025026
200,2.1923883028281974,2.033202703229426,2.072328464481381,2.0926575680324593
201,2.2003009241682623,2.0277193467958816,2.0783168929390268,2.111127986986928
202,2.208260556921214,2.0220187513837584,2.0833336773465154,2.1292264999907005
203,2.2160252274439594,2.0162662099119313,2.0872207604621997,2.146750656670951
204,2.2233918862904782,2.0106361120452703,2.089897317968378,2.1635194869338292
205,2.230187966780312,2.005281037628321,2.091349567662867,2.1793784418478
206,2.236375278303822,2.000546325700776,2.091733915156351,2.1944304545213305
207,2.2417211703895976,1.9960355991453,2.091119707375903,2.2084634714993925
208,2.246151567421433,1.9917867746105549,2.0896449561149852,2.221414313951768
209,2.249629808887448,1.9878230168065785,2.0875421071549174,2.233237563458872
210,2.2521437232923813,1.9841665940003628,2.0851601454914057,2.2438946925454757
211,2.253703459318804,1.9808501322737986,2.0829816437784716,2.253361811371398
212,2.2543360560228454,1.978049396008766,2.081600073180583,2.261691051781929
213,2.2540568947743203,1.9758156619186118,2.0817053290566716,2.2688851488205217
214,2.252875011776192,1.974202832846209,2.0838835391986184,2.274961311430279
215,2.250791851765936,1.9732633980406349,2.088327216934373,2.2799449788396604
216,2.2477963219345645,1.9730441441775117,2.094681850105579,2.283862773103607
217,2.243876268042379,1.973587104949925,2.102228250521771,2.2867465234734214
218,2.2390236997050907,1.9749248866531628,2.1101789254731487,2.2886310087315374
219,2.23324496983003,1.9770786478480145,2.1178611970552943,2.2895568684659544
220,2.2265643142219353,1.9800546275690984,2.1247468085153325,2.289573189204159
221,2.2190216404415137,1.9838375767983856,2.1304409228726,2.2887337325738137
222,2.210714265055307,1.9880504359775306,2.1348928759494883,2.2870978225983754
223,2.201675874738364,1.99290966434822,2.137657627970382,2.2847419972986995
224,2.191992503545995,1.9982444897629326,2.1385938937325717,2.281739532417801
225,2.1817617142859262,2.0038390897635043,2.1376282869189365,2.278174942508183
226,2.171084387860153,2.009468068698798,2.134757374402952,2.274140570766346
227,2.160057302252366,2.014924578242463,2.130050932163683,2.269737067605199
228,2.148770164495347,2.0200462127367818,2.123659420028121,2.265067312887878
229,2.1372972487743924,2.0247122395017567,2.1158009607409602,2.260229302611719
230,2.1257089891004854,2.028853020458509,2.106763514247268,2.2553161868582583
231,2.1140713347880453,2.032444092070195,2.09686709656771,2.2504086169093793
232,2.1024205257368602,2.03541353660058,2.086316646511648,2.2455309003737622
233,2.090829479645293,2.0378191736425437,2.0753837774639816,2.240738586331855
234,2.0793773053649955,2.039767801634471,2.064277500736036,2.2360669912126947
235,2.0681464027706955,2.0413832432103938,2.0532541051613586,2.2315307700277756
236,2.057208601308749,2.0428062083958873,2.0426847655872105,2.2271235675734884
237,2.0466316914491745,2.0441770572550766,2.0330082812730996,2.2228149869907456
238,2.0364766509526357,2.0456036034653633,2.0246490269691924,2.218558263405105
239,2.0267961895595814,2.04716157151511,2.0179535962549857,2.2142936317981845
240,2.0176269392457225,2.048919903876147,2.013160014947359,2.2099656209033194
241,2.008997307416476,2.0509906452930973,2.010394838664376,2.2055167952246575
242,2.0009034282386824,2.053344350766075,2.0095449534636756,2.2007830808200413
243,1.9933508075908064,2.0561099469357664,2.0105883039813888,2.1957246497264795
244,1.986338412415282,2.05955218694905,2.0135848852346117,2.1904539537959367
245,1.980110317957212,2.063752266120356,2.018524346574072,2.1849861571300093
246,1.9747018686393136,2.0687050527122035,2.025159754690162,2.1793494909888205
247,1.9701536712051313,2.07437124148216,2.0331786494841126,2.1735985022960205
248,1.9665098706123982,2.0806885947889486,2.0422175087702183,2.1678113913775237
249,1.9638129317910407,2.087575062894109,2.0518909473084097,2.162086147351836
250,1.962100619542842,2.094941239951056,2.0618465962674484,2.156534197458569
251,1.9614009955078768,2.1026949547661546,2.07180270218994,2.1512667645725765
252,1.9614373085858665,2.110993007253477,2.081521968579207,2.1464456672224
253,1.9622015741869232,2.119745520339375,2.090753589619806,2.1422012364396044
254,1.9636801471123548,2.128945733799226,2.099034244819641,2.1386144988556985
255,1.9658546329935607,2.1385960824878505,2.1058683137475076,2.135743302965009
256,1.9687452311910316,2.1487151843724637,2.11070737142547,2.1336358923703043
257,1.9723432496569755,2.1592940000534675,2.1131249926523217,2.1323158591732128
258,1.976572995015468,2.1701785562306575,2.1128490338683137,2.1315810764474685
259,1.9818381574506456,2.1808316271049364,2.109410775872578,2.131478376380669
260,1.9881044086707065,2.191001999230869,2.1027700483585354,2.1319555541093935
261,1.9949225847428396,2.200842037156084,2.093376264265424,2.132897689071279
262,2.0023197147643694,2.210017153535517,2.081399102200132,2.1340751880134263
263,2.010145943605961,2.2184294289460045,2.0673062316674904,2.1356028945970946
264,2.018305518196292,2.2259438802066414,2.0515923641786236,2.137429184416931
265,2.0266952582586337,2.2324740573114683,2.0348655780752414,2.1395033167602
266,2.0351996986408256,2.2379817026808957,2.017827579562917,2.141785999288996
267,2.043702947172102,2.2424459545271063,2.001277594932026,2.1442578385289552
268,2.0520770006081643,2.2459321692909877,1.986028356256072,2.1469016914986514
269,2.060203211197048,2.2485433957846155,1.9728749092156912,2.1496989144069287
270,2.06796313087146,2.2504466991886227,1.962422535771187,2.152671477821385
271,2.075244334865914,2.2518905500193824,1.9549340742893453,2.155866114321427
272,2.0819838421992993,2.253075918292561,1.949826648572031,2.159255240277645
273,2.088078814935398,2.254396089527933,1.9467080265641603,2.162933158621747
274,2.0934237028171943,2.256214324362239,1.9450895336306304,2.167002390922927
275,2.0979093519062344,2.25874417564988,1.9445145286476575,2.171563259558756
276,2.101420213037124,2.2619625676360595,1.944598952250204,2.176704420542467
277,2.1038452306976563,2.2656354979374935,1.9450465263857337,2.1824969811964623
278,2.1050812294732677,2.269420616097481,1.9456344946501394,2.1889843033721603
279,2.1050479798850232,2.272967147787368,1.9462046076016764,2.1961794113338233
280,2.103805169435199,2.2760597600968575,1.9471381339839735,2.2041922459554955
281,2.1013207824483597,2.2784807450669824,1.9483840368523724,2.212968832616624
282,2.097458745707131,2.279997071763213,1.949361957642755,2.222254114995798
283,2.0922412872367175,2.280518833981941,1.9500408260243889,2.2319101762764455
284,2.0857194258131426,2.280018936692838,1.9504179546064349,2.241769828600492
285,2.0779679736818033,2.278534908108727,1.9505174911317111,2.251649336452427
286,2.069082841074373,2.2761750338982725,1.9504010185168494,2.261362532342467
287,2.0591717967161887,2.2731206190018236,1.9501528096176899,2.2707213792846046
288,2.0483851594790194,2.269572146586612,1.949899506066817,2.27957111405683
289,2.0369530483669074,2.2655507280219656,1.9498855962079957,2.287831775977886
290,2.0249584990602414,2.2618654753955174,1.9506416228018622,2.295612069857828
291,2.012718520401725,2.2584630653457998,1.9522002376194205,2.302648207112625
292,2.000275291089977,2.255616044699936,1.9549776770244325,2.3087960670009475
293,1.9877604242065283,2.253395542760432,1.9589301192445943,2.3140045247925864
294,1.975298756280516,2.251897673750369,1.9639846826391234,2.3182988702620855
295,1.963143320582089,2.2506406946219646,1.9691980639540303,2.3215024621507068
296,1.9513481788964309,2.2496788337536193,1.9743258586399266,2.3239027825908423
297,1.9401702482743,2.2484502382535574,1.9787034910326262,2.325392887034035
298,1.9296856480302949,2.246665921675478,1.9821930898955056,2.326004024390745
299,1.9199850066898017,2.2446377929705994,1.984724959043396,2.326049792800523
300,1.9113019131251991,2.2419331480209435,1.9858409213911852,2.3254674162541225
301,1.903690173191872,2.238404987236323,1.985647160249102,2.3243516924123506
302,1.8972839319903585,2.234121150326177,1.983975789660102,2.3227553723402963
303,1.892171518977988,2.229105325642531,1.980890658658404,2.3208004286520736
304,1.8884341046207263,2.22343851383016,1.9765350298033184,2.318609339402849
305,1.8861367495987187,2.2172745186834857,1.971082869377584,2.3162829979203208
306,1.8854116039450541,2.2108715322873707,1.9648831298540994,2.3140495246759527
307,1.8862910658988719,2.2044886501679444,1.9583077578040908,2.311976922851226
308,1.8886736121588248,2.198352987038392,1.9517515952092348,2.309971285298907
309,1.8924965597802261,2.1927430729052726,1.9456864921823342,2.3080594318241117
310,1.8977789022492872,2.187873521845825,1.9405784011625786,2.3063906068880295
311,1.904394134560565,2.1837238953954303,1.9367143571079455,2.304977513811811
312,1.9118824581771814,2.1803463880881933,1.9342609321814495,2.3037684475278577
313,1.919994625161431,2.1774109698380775,1.9330914021853567,2.302743110507161
314,1.928757978100796,2.174541112418491,1.9330956375782429,2.3019493040665884
315,1.9379169643877985,2.171456171566816,1.9340872475680677,2.3014012784784486
316,1.947174312775824,2.1677934929877374,1.9358388968276712,2.301103885697971
317,1.9563788644982592,2.1633359690850917,1.9383496610218491,2.3010853619805522
318,1.9654990950533702,2.15797065746611,1.9414794879475021,2.301374295408768
319,1.9744474866861592,2.1516151843105926,1.9455575519937127,2.302033135787275
320,1.9831483188978278,2.1442367897592867,1.9506942596759218,2.303052588050219
321,1.9916147103303978,2.1358594629107084,1.9569310018998434,2.3043842598328577
322,1.9995650761523414,2.126570740035944,1.9644440909422978,2.3058754391033545
323,2.0074175161253955,2.1165413680010037,1.9730790191836782,2.3075323865514057
324,2.0152958135972865,2.106012982752276,1.9827777819090553,2.309263839978234
325,2.0233359029886135,2.095321911186081,1.9933768249719297,2.310947545154479
326,2.0316843279342143,2.0848645843234332,2.0046114610758563,2.3124537702496446
327,2.040486448189574,2.075064365936259,2.0160875791963555,2.3136340262552975
328,2.049868502149694,2.0663056724013638,2.027324876347277,2.3143256154795893
329,2.059928648542757,2.058863558803333,2.0378887228420184,2.314354284618797
330,2.0707288727677353,2.0528668816250772,2.0475680237592497,2.3135471061225528
331,2.082286766258619,2.048321257417153,2.056476951075449,2.311749719298479
332,2.094210543099268,2.045296267456387,2.0648316636394233,2.3087760334557914
333,2.106493657807578,2.043573023786936,2.0730839698844363,2.304549262643555
334,2.1193138183897817,2.0431125245231416,2.08169361997041,2.299136230810405
335,2.132623760334702,2.044327125427339,2.0915884037163215,2.2930041946383293
336,2.146192676756782,2.047177418769606,2.1028423912583234,2.28625234919406
337,2.159613176664233,2.0511391779168715,2.1147622221518465,2.2786077872703157
338,2.1725431205405936,2.056175044253805,2.1271862288346903,2.2702357750401676
339,2.1846094879166045,2.0621950750104254,2.1400237668442035,2.261352033536933
340,2.195294920507512,2.0691515840811263,2.153040108285572,2.252113076921839
